445	1	4
35	1	3
57	1	1
79	1	4
146	1	5
368	1	5
390	1	5
434	1	2
490	1	4
545	1	2
579	1	2
590	1	3
601	1	4
690	1	4
701	1	2
801	1	4
823	1	2
878	1	5
934	1	4
940	1	5
941	1	4
11	1	4
12	1	4
36	1	5
37	1	4
40	1	5
55	1	4
59	1	5
69	1	4
71	1	4
84	1	3
87	1	3
92	1	3
118	1	2
139	1	4
147	1	5
148	1	3
151	1	3
160	1	4
161	1	4
166	1	3
167	1	4
169	1	4
170	1	4
173	1	3
175	1	5
192	1	3
214	1	5
216	1	2
219	1	5
237	1	4
239	1	4
240	1	5
249	1	2
251	1	5
253	1	3
258	1	5
267	1	5
272	1	5
280	1	4
291	1	3
306	1	4
311	1	4
314	1	5
320	1	4
321	1	5
322	1	4
324	1	5
332	1	5
337	1	2
338	1	5
339	1	4
343	1	4
356	1	4
374	1	5
377	1	4
381	1	5
387	1	3
400	1	4
410	1	5
432	1	3
460	1	4
482	1	5
487	1	2
492	1	4
493	1	4
506	1	3
515	1	2
530	1	4
531	1	5
563	1	4
567	1	1
569	1	4
577	1	4
582	1	3
593	1	3
597	1	3
611	1	5
613	1	3
616	1	4
618	1	2
621	1	4
628	1	4
633	1	5
655	1	3
658	1	5
659	1	4
664	1	5
665	1	4
666	1	3
674	1	5
684	1	3
686	1	5
692	1	5
697	1	4
698	1	3
702	1	4
733	1	5
738	1	4
763	1	4
765	1	3
768	1	3
770	1	4
774	1	2
776	1	4
780	1	4
784	1	5
798	1	4
805	1	4
808	1	4
821	1	5
837	1	4
839	1	3
850	1	5
857	1	5
859	1	3
868	1	4
870	1	5
873	1	5
874	1	4
882	1	5
885	1	4
892	1	5
902	1	4
909	1	3
910	1	3
911	1	4
914	1	3
916	1	3
920	1	5
922	1	3
924	1	3
926	1	4
929	1	3
930	1	4
135	777	2
690	777	3
856	777	4
14	777	3
88	777	4
105	777	3
128	777	4
192	777	1
197	777	4
200	777	4
216	777	3
226	777	2
310	777	2
333	777	3
374	777	4
440	777	2
453	777	4
470	777	3
482	777	5
494	777	3
503	777	2
514	777	3
624	777	2
719	777	3
739	777	3
773	777	3
813	777	3
830	777	5
850	777	4
881	777	4
885	777	3
917	777	3
938	777	5
368	888	2
545	888	4
790	888	4
943	888	3
7	888	3
121	888	2
137	888	4
164	888	2
226	888	2
228	888	3
275	888	3
367	888	2
374	888	3
405	888	2
484	888	4
487	888	2
503	888	5
582	888	1
648	888	3
666	888	3
684	888	5
720	888	2
786	888	2
844	888	5
902	888	2
667	999	5
68	999	5
101	999	4
545	999	4
579	999	4
812	999	2
5	999	2
12	999	2
19	999	4
36	999	2
66	999	4
121	999	4
133	999	3
175	999	5
202	999	3
209	999	4
220	999	1
228	999	4
241	999	4
254	999	4
274	999	4
341	999	4
342	999	2
348	999	4
391	999	3
394	999	4
397	999	3
408	999	3
410	999	5
417	999	5
425	999	3
451	999	4
485	999	3
515	999	1
547	999	4
566	999	3
581	999	4
582	999	4
610	999	1
618	999	2
622	999	3
628	999	4
630	999	5
648	999	3
720	999	4
747	999	1
750	999	2
757	999	3
765	999	3
773	999	4
785	999	2
816	999	3
850	999	4
871	999	4
908	999	4
927	999	3
1	1110	3
36	1110	4
41	1110	3
99	1110	4
151	1110	3
175	1110	5
187	1110	3
191	1110	5
216	1110	3
233	1110	4
240	1110	4
260	1110	5
304	1110	4
354	1110	4
360	1110	3
363	1110	1
374	1110	2
387	1110	3
497	1110	5
503	1110	4
549	1110	4
752	1110	4
774	1110	4
795	1110	3
816	1110	1
850	1110	4
874	1110	3
911	1110	4
918	1110	4
590	1221	3
679	1221	3
487	1221	2
521	1221	3
618	1221	4
1	1332	4
778	1332	3
35	1332	2
46	1332	5
124	1332	5
168	1332	4
201	1332	5
246	1332	4
390	1332	3
501	1332	3
512	1332	5
523	1332	4
545	1332	4
557	1332	5
579	1332	4
612	1332	1
656	1332	5
734	1332	4
790	1332	4
878	1332	5
22	1332	5
51	1332	2
67	1332	5
92	1332	4
99	1332	5
110	1332	4
111	1332	4
115	1332	3
138	1332	5
143	1332	5
165	1332	4
188	1332	4
197	1332	5
216	1332	3
217	1332	4
218	1332	5
219	1332	5
230	1332	4
240	1332	4
248	1332	4
256	1332	3
259	1332	4
267	1332	4
277	1332	4
294	1332	3
298	1332	5
299	1332	4
309	1332	4
328	1332	5
339	1332	5
343	1332	4
349	1332	5
350	1332	3
354	1332	3
369	1332	3
378	1332	4
381	1332	4
398	1332	4
400	1332	5
407	1332	5
413	1332	3
415	1332	5
417	1332	5
421	1332	1
441	1332	4
442	1332	3
443	1332	3
444	1332	4
447	1332	5
466	1332	3
474	1332	3
475	1332	4
485	1332	5
491	1332	4
507	1332	4
514	1332	5
519	1332	4
530	1332	5
533	1332	3
537	1332	5
548	1332	5
562	1332	4
577	1332	4
595	1332	4
613	1332	4
621	1332	4
